"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"153",3,90,3,627.7,115.3,85,NA,128.1
"154",3,91,1,586.7,112.5,78.3,NA,NA
"155",3,91,2,510.3,90.7,61.6,127.9,NA
"156",3,91,3,690.8,141.9,97.2,NA,162.9
"157",3,92,1,456.5,76.6,69.5,NA,NA
"158",3,92,2,484,67.4,62.2,135.8,NA
"159",3,92,3,408.6,84.4,70.4,NA,94.8
"160",3,93,1,534.1,102.6,75.1,NA,NA
"161",3,93,2,474.8,65.4,62.4,152.1,NA
"162",3,93,3,627.4,154,90.5,NA,124.3
"163",3,94,1,569.6,97.4,118.5,NA,NA
"164",3,94,2,503.9,62.8,76.8,151.9,NA
"165",3,94,3,714,127.8,221.9,NA,105
"166",3,95,1,665.9,201.1,128.8,NA,NA
"167",3,95,2,782.8,176.9,139.1,81.5,NA
"168",3,95,3,540.3,217,101.3,NA,NA
"169",3,96,1,591.9,108,85.2,NA,NA
"170",3,96,2,519,70.2,69.2,164,NA
"171",3,96,3,720.6,164,105.7,NA,135.9
"172",4,78,1,550,95.8,72.1,NA,NA
"173",4,78,2,484.5,72.9,59.1,131.7,NA
"174",4,78,3,656.9,130.1,89.1,NA,139.4
"175",4,79,1,512.8,107.7,67.3,NA,NA
"176",4,79,2,452.7,82.8,50.7,120.9,NA
"177",4,79,3,596.9,142.4,88.1,NA,111.2
"178",4,80,1,546.7,87.2,71.1,NA,NA
"179",4,80,2,485.6,66.8,61.5,126.7,NA
"180",4,80,3,647,116.6,83.9,NA,134.2
"181",4,81,1,521.6,106.6,72.4,NA,NA
"182",4,81,2,461.8,80.9,59.4,118.4,NA
"183",4,81,3,615.7,144.9,88.7,NA,94.3
"184",4,82,1,632.2,136.4,66.1,NA,NA
"185",4,82,2,539.8,99.3,56.1,124.7,NA
"186",4,82,3,749.1,182.2,77.7,NA,153.1
"187",4,83,1,566.5,90,70.2,NA,NA
"188",4,83,2,505.4,67.2,57.1,150.5,NA
"189",4,83,3,684,127,88,NA,152
"190",4,84,1,542.2,87.6,65.9,NA,NA
"191",4,84,2,462.1,57.2,55.9,132.9,NA
"192",4,84,3,660.4,127.7,78,NA,160.4
"193",4,85,1,608.7,124.5,72.3,NA,NA
"194",4,85,2,531.3,80.2,60.6,144.4,NA
"195",4,85,3,717.5,182,84.6,NA,117.5
"196",4,86,1,533.4,95.8,70.2,NA,NA
"197",4,86,2,455.4,69.3,60.3,116,NA
"198",4,86,3,656.7,134.7,85.2,NA,151.9
"199",4,87,1,550.7,97.3,76,NA,NA
"200",4,87,2,477,78.4,61.2,126.9,NA
"201",4,87,3,664.1,126.7,94.4,NA,151.1
"202",4,88,1,578.5,118.6,75,NA,NA
"203",4,88,2,500.1,89.1,61.5,135.5,NA
"204",4,88,3,695,159.5,91.4,NA,144.2
"205",4,89,1,548.3,91.5,74.8,NA,NA
"206",4,89,2,490.6,76.8,61.4,129.7,NA
"207",4,89,3,642,112.8,93.6,NA,127.1
"208",4,90,1,531.7,86,68,NA,NA
"209",4,90,2,483.5,67.2,56.5,130.7,NA
"210",4,90,3,623.4,115.9,84.6,NA,126.2
"211",4,91,1,591.3,111.3,76.4,NA,NA
"212",4,91,2,509.7,90.4,59.7,129.1,NA
"213",4,91,3,703,139.6,95.4,NA,166.2
"214",4,92,1,476.2,73.6,59.7,NA,NA
"215",4,92,2,470.4,67.4,51.3,114.6,NA
"216",4,92,3,482.2,78.1,68.8,NA,169.4
"217",4,93,1,529.3,98.9,77.2,NA,NA
"218",4,93,2,459,63.3,58.1,145.1,NA
"219",4,93,3,630.9,146.9,99.6,NA,122
"220",4,94,1,583,87.4,94.6,NA,NA
"221",4,94,2,578.1,28,79.4,193.8,NA
"222",4,94,3,576.5,140.4,96,NA,117.9
