"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"153",1,120,3,635.4,97,82.5,NA,196.7
"154",1,122,1,456.9,51.6,59.6,NA,NA
"155",1,122,2,413,42.4,49.3,125.6,NA
"156",1,122,3,519.8,64.2,71.3,NA,154.6
"157",2,2,1,517.1,71.8,69.1,NA,NA
"158",2,2,2,478.1,68.7,57.7,116,NA
"159",2,2,3,580.6,78,84.9,NA,167.9
"160",2,5,1,493.5,61.9,62.7,NA,NA
"161",2,5,2,442.2,52.4,53.8,119.5,NA
"162",2,5,3,566.7,75,73,NA,172.7
"163",2,6,1,480.5,51.2,60.8,NA,NA
"164",2,6,2,434.1,42.4,50.3,127.3,NA
"165",2,6,3,550.7,63.7,73.3,NA,162.4
"166",2,9,1,392.7,39.5,46.3,NA,NA
"167",2,9,2,340.5,28.9,38.7,99.1,NA
"168",2,9,3,461.9,52.8,55.9,NA,163.2
"169",2,11,1,488.5,72.5,65.7,NA,NA
"170",2,11,2,433.4,59,54,131.3,NA
"171",2,11,3,568.4,91.5,81.2,NA,166.5
"172",2,12,1,534.6,68.7,70.2,NA,NA
"173",2,12,2,447.3,49.3,60.6,126.4,NA
"174",2,12,3,659,93,85.4,NA,209.8
"175",2,13,1,506.4,66.3,64.4,NA,NA
"176",2,13,2,452.4,55.8,53.3,132.4,NA
"177",2,13,3,588.6,80.9,78.2,NA,149
"178",2,14,1,478.1,66.3,62.2,NA,NA
"179",2,14,2,425.7,53.2,49.9,133.8,NA
"180",2,14,3,557.4,85.1,79.7,NA,164.7
"181",2,15,1,475.3,52.5,58.1,NA,NA
"182",2,15,2,431.1,40.9,49.5,126.2,NA
"183",2,15,3,544.3,68.4,69.2,NA,158.4
"184",2,17,1,504.4,80.4,60.7,NA,NA
"185",2,17,2,451.9,65.9,51.6,130.1,NA
"186",2,17,3,577.5,100.6,71.7,NA,159.7
"187",2,18,1,537.6,69.8,64.9,NA,NA
"188",2,18,2,477.5,62.3,53.1,126.7,NA
"189",2,18,3,621.5,81.1,77.9,NA,192.3
"190",2,20,1,512.4,91.1,71.5,NA,NA
"191",2,20,2,444.9,73.5,64.1,123,NA
"192",2,20,3,602.3,115.3,78.4,NA,180.7
"193",2,23,1,524.5,73.1,62.4,NA,NA
"194",2,23,2,467.9,61,54.2,128.9,NA
"195",2,23,3,606.8,90,69.7,NA,155.8
"196",2,24,1,527.4,75.6,68.4,NA,NA
"197",2,24,2,446.6,60.3,57.1,125.1,NA
"198",2,24,3,644.9,96.7,83.3,NA,192.2
"199",2,29,1,500.4,61.2,65.2,NA,NA
"200",2,29,2,424.8,47.8,53.7,120.1,NA
"201",2,29,3,592.5,77.2,76,NA,191.6
"202",2,30,1,514.9,72.7,66.8,NA,NA
"203",2,30,2,452.1,56.2,55.1,126.9,NA
"204",2,30,3,603.1,96.8,80,NA,180.7
"205",2,31,1,514.7,77.4,67,NA,NA
"206",2,31,2,460.5,65.2,63.2,119.8,NA
"207",2,31,3,589.5,93.9,71.7,NA,159
"208",2,32,1,503.6,51,63.7,NA,NA
"209",2,32,2,454.6,43.9,51.1,132.3,NA
"210",2,32,3,575.1,61.2,78.8,NA,175.8
"211",2,33,1,516.4,68.4,66.7,NA,NA
"212",2,33,2,459.8,57.2,53.2,131.4,NA
"213",2,33,3,599.6,84.1,83.6,NA,164.2
"214",2,34,1,507.7,88.7,64.2,NA,NA
"215",2,34,2,465.1,74.1,57.5,121.8,NA
"216",2,34,3,572.4,109.4,70.9,NA,131.9
"217",2,36,1,544.1,62.1,78.2,NA,NA
"218",2,36,2,499.8,50.7,60.8,138.5,NA
"219",2,36,3,605.6,74.5,96.8,NA,201.3
"220",2,39,1,500.8,77.7,64.9,NA,NA
"221",2,39,2,446.2,67.3,52.6,137.3,NA
"222",2,39,3,580.4,90.2,80,NA,138
"223",2,42,1,543,77.2,70.8,NA,NA
"224",2,42,2,461.5,62.6,63.2,130.6,NA
"225",2,42,3,659.4,98.7,80.4,NA,184.8
"226",2,43,1,517.3,81.7,67.7,NA,NA
"227",2,43,2,448.4,66.5,54.8,123.6,NA
"228",2,43,3,607.8,101.5,81.3,NA,176.9
"229",2,46,1,532.1,66.3,71,NA,NA
"230",2,46,2,453.9,53.2,57.9,130,NA
"231",2,46,3,641,84.8,88.1,NA,190.1
"232",2,47,1,506.1,54.3,62.6,NA,NA
"233",2,47,2,456.6,45.3,53.5,132.2,NA
"234",2,47,3,582.3,66.5,73.5,NA,179.2
"235",2,50,1,498.5,70.3,63.1,NA,NA
"236",2,50,2,440.5,56.4,48.2,127.8,NA
"237",2,50,3,581,88.4,81.1,NA,161.7
"238",2,51,1,552.2,83.6,87.4,NA,NA
"239",2,51,2,485.8,66.4,76.9,120,NA
"240",2,51,3,640.9,109.5,101.2,NA,164.7
"241",2,52,1,551.1,87.1,78.3,NA,NA
"242",2,52,2,479.4,71.8,62.7,126.2,NA
"243",2,52,3,647.6,108.5,97.4,NA,165.5
"244",2,54,1,538.8,80.5,67.8,NA,NA
"245",2,54,2,479.1,72,55.9,129.3,NA
"246",2,54,3,620,92.5,81.5,NA,174.4
"247",2,56,1,514.4,74.1,71.8,NA,NA
"248",2,56,2,455.9,60.4,56.2,127.9,NA
"249",2,56,3,600.6,92.8,90.1,NA,162
"250",2,63,1,454.3,67.6,73.1,NA,NA
"251",2,63,2,432.9,58.9,58.7,125.3,NA
