"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"164",11,130,2,507.4,77.9,61.7,131.3,NA
"165",11,130,3,666.4,95.9,90.4,NA,170.7
"166",12,64,1,555.8,86.6,73.9,NA,NA
"167",12,64,2,502.9,77.6,60.6,122.3,NA
"168",12,64,3,627.4,99.4,90.5,NA,131.6
"169",12,124,1,552.7,82.2,75.6,NA,NA
"170",12,124,2,485.7,68.5,62.8,112.1,NA
"171",12,124,3,635.5,99.1,90.7,NA,136.7
"172",12,126,1,526.2,92.3,72.4,NA,NA
"173",12,126,2,510.5,89.3,61.5,116.1,NA
"174",12,126,3,552.1,98.2,83.8,NA,98.6
"175",12,128,1,575.9,93,75.9,NA,NA
"176",12,128,2,519.6,83.8,61.3,123.9,NA
"177",12,128,3,648,105.6,94.3,NA,129.2
"178",12,130,1,562.4,83.7,72.8,NA,NA
"179",12,130,2,503.8,75.5,58.5,130.8,NA
"180",12,130,3,648.8,97,92.3,NA,143.9
"181",13,64,1,542.6,82.9,71.9,NA,NA
"182",13,64,2,496.5,74.4,58,123.1,NA
"183",13,64,3,606.2,95.1,88.8,NA,116.2
"184",13,124,1,531.8,78.6,72.8,NA,NA
"185",13,124,2,473.1,68.5,59.5,111.8,NA
"186",13,124,3,603.8,91.7,87.6,NA,124.5
"187",13,126,1,523,83.1,73.6,NA,NA
"188",13,126,2,508.8,80.9,59.6,114.9,NA
"189",13,126,3,548.8,87.6,89.7,NA,90.4
"190",13,128,1,566.9,93,76.4,NA,NA
"191",13,128,2,520.3,84.8,63.4,130.9,NA
"192",13,128,3,626.6,104.1,91.6,NA,112.3
"193",13,130,1,546.6,80.5,68.2,NA,NA
"194",13,130,2,494.2,69.9,53.4,129.7,NA
"195",13,130,3,626.3,96.6,88.1,NA,124
"196",1,48,1,538.6,89.6,69.2,NA,NA
"197",1,48,2,455.8,63.5,58.9,128.1,NA
"198",1,48,3,655.4,125.3,81.5,NA,171
"199",1,125,1,535.5,83.2,70.6,NA,NA
"200",1,125,2,466.5,65.2,62.5,140.1,NA
"201",1,125,3,634.8,110,78.7,NA,173.4
"202",1,127,1,560.6,101.9,64.3,NA,NA
"203",1,127,2,473.4,80.8,54.8,126,NA
"204",1,127,3,685.3,134.5,77.4,NA,162.3
"205",1,129,1,548.1,84.8,66.5,NA,NA
"206",1,129,2,479,58.6,54.8,140.7,NA
"207",1,129,3,650.4,117.9,80.6,NA,168.2
"208",1,131,1,490.4,76.6,76.8,NA,NA
"209",1,131,2,419.9,48.3,68.6,99,NA
"210",1,131,3,598.1,113.5,90.1,NA,153.6
"211",1,132,1,568.2,96.6,78.2,NA,NA
"212",1,132,2,455.6,51.2,59.5,123.2,NA
"213",1,132,3,720.6,163.3,99.9,NA,197.7
"214",1,133,1,525,90.9,69,NA,NA
"215",1,133,2,388.6,49.5,60.2,99.9,NA
"216",1,133,3,699.2,143.1,78.9,NA,213.9
"217",1,134,1,508.2,93,75.6,NA,NA
"218",1,134,2,430.7,60,60.1,132.2,NA
"219",1,134,3,606.7,131.3,95.4,NA,131.3
"220",2,48,1,535.1,89.4,66.7,NA,NA
"221",2,48,2,452.3,64.4,56.3,124,NA
"222",2,48,3,650.8,124.3,79,NA,171.3
"223",2,125,1,525.6,82.8,64.1,NA,NA
"224",2,125,2,443.5,64.6,50.8,126.6,NA
"225",2,125,3,639,109.9,79.4,NA,165.7
"226",2,127,1,555.1,95.1,62.4,NA,NA
"227",2,127,2,456.5,76.9,51.3,118.8,NA
"228",2,127,3,689.3,123.2,75.6,NA,179.3
"229",2,129,1,549.3,89.8,69.7,NA,NA
"230",2,129,2,493.9,67.3,61.6,136.8,NA
"231",2,129,3,633.1,117.7,79,NA,175.9
"232",2,131,1,489.3,78.5,74.4,NA,NA
"233",2,131,2,430.3,41.8,68.2,98.1,NA
"234",2,131,3,573.4,127.4,82.1,NA,141.6
"235",2,132,1,510.7,86.5,72,NA,NA
"236",2,132,2,401.4,40.3,48.9,122.6,NA
"237",2,132,3,663.5,151.7,95.6,NA,154.7
"238",2,133,1,554.8,99.1,69,NA,NA
"239",2,133,2,432.6,55.4,62.2,118.4,NA
"240",2,133,3,717.7,157.3,78.2,NA,202.5
"241",2,134,1,499.4,90.9,66.9,NA,NA
"242",2,134,2,432.5,65.3,59.3,129.8,NA
"243",2,134,3,589.2,123.9,75.6,NA,144.4
"244",3,48,1,548.6,90.1,67.1,NA,NA
"245",3,48,2,459.5,68.1,55.6,124.8,NA
"246",3,48,3,672.2,121.2,81.3,NA,181.3
"247",3,125,1,544.3,88.9,71.6,NA,NA
"248",3,125,2,451.5,70.8,56.5,123.2,NA
"249",3,125,3,671,114.7,90.5,NA,169.8
"250",3,127,1,572.9,90.7,62.6,NA,NA
"251",3,127,2,476.3,76.5,52.9,126.1,NA
"252",3,127,3,707.1,114.2,75.1,NA,199.4
"253",3,129,1,530.7,90.3,62.8,NA,NA
"254",3,129,2,466.1,67.9,52.4,130.4,NA
"255",3,129,3,626.3,119.5,76,NA,165.5
"256",3,131,1,523.6,87.2,76.8,NA,NA
"257",3,131,2,469.7,52.7,73.6,100.2,NA
"258",3,131,3,608.5,137.7,78.5,NA,135.2
"259",3,132,1,518,99.7,65.4,NA,NA
"260",3,132,2,399.5,58.7,36.8,118.2,NA
"261",3,132,3,679.1,157.5,94.3,NA,176.3
"262",3,133,1,577.7,92.5,67.2,NA,NA
"263",3,133,2,450.5,64.7,56.3,124.4,NA
"264",3,133,3,742.2,128,82.7,NA,235.8
"265",3,134,1,542.2,86.2,69,NA,NA
"266",3,134,2,455.8,58.1,63.5,138.7,NA
"267",3,134,3,654.2,123.8,74.2,NA,177.9
