"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"144",3,99,3,476.3,65.8,68,NA,119.5
"145",3,104,1,493.9,59.2,59.5,NA,NA
"146",3,104,2,434.8,52.3,50.3,124.7,NA
"147",3,104,3,578.2,69.5,71.3,NA,164.1
"148",3,111,1,506.2,83.8,62.8,NA,NA
"149",3,111,2,437.1,76.4,49,116.9,NA
"150",3,111,3,585.7,93.5,76.1,NA,151.8
"151",3,115,1,431.7,54.7,54.1,NA,NA
"152",3,115,2,382.8,44.8,47.3,109.7,NA
"153",3,115,3,499.8,68.5,62.7,NA,131.8
"154",4,3,1,477.8,65.8,60.3,NA,NA
"155",4,3,2,422.4,59.1,50.3,119.6,NA
"156",4,3,3,550.3,75.2,72.2,NA,151.2
"157",4,8,1,516.6,72.5,68,NA,NA
"158",4,8,2,460.2,65.6,55.7,128.1,NA
"159",4,8,3,584.7,82,82.2,NA,151.2
"160",4,19,1,439.5,64.7,65,NA,NA
"161",4,19,2,399.9,53.7,44.3,131.6,NA
"162",4,19,3,491.7,79.1,89.8,NA,103.8
"163",4,26,1,507.5,71.2,62.1,NA,NA
"164",4,26,2,447.6,61.2,53.8,122.5,NA
"165",4,26,3,586.3,84.3,72.8,NA,160.4
"166",4,27,1,469.7,69,62,NA,NA
"167",4,27,2,411.5,63.7,50.1,115.9,NA
"168",4,27,3,551.5,77.7,76.9,NA,153.6
"169",4,28,1,467.3,61.3,55.9,NA,NA
"170",4,28,2,409,54.7,46.4,115.2,NA
"171",4,28,3,542.6,71.1,67.2,NA,161
"172",4,40,1,486.9,60.4,66.7,NA,NA
"173",4,40,2,445.8,54.6,60.7,120.7,NA
"174",4,40,3,543.5,68.9,73.4,NA,136.7
"175",4,53,1,470.2,52.4,60,NA,NA
"176",4,53,2,419.4,48.5,53.2,126.8,NA
"177",4,53,3,535.8,58.7,67.1,NA,153.1
"178",4,55,1,556.8,83,65.9,NA,NA
"179",4,55,2,484,82.7,56.3,125.9,NA
"180",4,55,3,646,87.6,77.2,NA,194.5
