"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"134",8,60,2,536.1,112.6,98.9,105.7,NA
"135",8,60,3,635.9,137.2,78.6,NA,120.1
"136",8,74,1,531.4,79.7,79.9,NA,NA
"137",8,74,2,493.2,81.3,64.3,120.5,NA
"138",8,74,3,584.7,81.2,97.1,NA,127.2
"139",8,107,1,490.2,66.7,67.9,NA,NA
"140",8,107,2,439.8,55.6,55.9,124.5,NA
"141",8,107,3,552.7,78.9,82,NA,134.8
"142",8,121,1,547.4,75.8,71.6,NA,NA
"143",8,121,2,508.4,69.5,57.7,137.3,NA
"144",8,121,3,614.6,86.8,89.5,NA,140.8
"145",9,37,1,523.5,68.7,78.4,NA,NA
"146",9,37,2,488.8,70.2,70.5,130.6,NA
"147",9,37,3,571,69.4,87.3,NA,141.3
"148",9,45,1,535.7,74.3,74.3,NA,NA
"149",9,45,2,496.2,70,61.2,133.4,NA
"150",9,45,3,595.7,81.9,89.9,NA,137.2
"151",9,60,1,568.8,119.6,87,NA,NA
"152",9,60,2,517.4,97.2,94.8,94.6,NA
"153",9,60,3,632.2,149.2,78.4,NA,130.7
"154",9,74,1,545.5,81.6,82.3,NA,NA
"155",9,74,2,496.4,84.9,65.2,121.9,NA
"156",9,74,3,609.4,81.1,100.7,NA,139.2
"157",9,107,1,510.2,61.9,71.3,NA,NA
"158",9,107,2,458.2,52.5,55.9,136.3,NA
"159",9,107,3,574.2,72.6,89.2,NA,144.7
"160",9,121,1,539.6,74.5,71.3,NA,NA
"161",9,121,2,504.7,68.9,57.8,138.1,NA
"162",9,121,3,601.7,84.3,88.4,NA,134.4
"163",10,37,1,532.4,71.9,77.7,NA,NA
"164",10,37,2,502.2,73,61.6,133.3,NA
"165",10,37,3,573.4,72.6,94.3,NA,128.9
"166",10,45,1,526.5,72,70.9,NA,NA
"167",10,45,2,490.9,68.8,57.3,132.6,NA
"168",10,45,3,580,77.2,86.8,NA,127.3
"169",10,60,1,539,104.3,76.4,NA,NA
"170",10,60,2,486.5,85.4,79.7,108.6,NA
"171",10,60,3,603.7,128,71.7,NA,100
"172",10,74,1,535.2,79.1,77.2,NA,NA
"173",10,74,2,487.1,79.6,63.6,120.9,NA
"174",10,74,3,594.6,80.5,91.5,NA,133
"175",10,107,1,503.8,61.8,71.4,NA,NA
"176",10,107,2,446.4,53.7,53.6,127.2,NA
"177",10,107,3,571.5,70.1,91.1,NA,137.6
"178",10,121,1,527.9,71.2,67.3,NA,NA
"179",10,121,2,499.2,67.9,54.2,137.4,NA
